timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
15088000,15088000,29.660324812526365,-82.31664741631506,29.946478,29.931664,0.0,1.120145,1.1221626,29.837095,1,0,1,0
15308000,15308000,29.660324821038344,-82.31664742688476,29.948362,29.93275,0.0,1.1089686,1.118914,29.837095,1,0,1,0
15496000,15496000,29.660324811491005,-82.31664745136771,29.949884,29.934273,0.0,1.1207085,1.1214403,29.837095,1,0,1,0
15676000,15676000,29.660324804921494,-82.31664746868782,29.950445,29.933239,0.0,1.1072385,1.1164535,29.837095,1,0,1,0
15888000,15888000,29.660324800100906,-82.31664748015581,29.952105,29.934898,0.0,1.1198733,1.1198951,29.837095,1,0,1,0
16056000,16056000,29.660324795757155,-82.3166474853218,29.954123,29.93552,0.0,1.1060846,1.1169295,29.837095,1,0,1,0
16296000,16296000,29.660324796379037,-82.31664749172056,29.954927,29.936325,0.0,1.1204414,1.1194637,29.837095,1,0,1,0
16476000,16476000,29.66032479643785,-82.31664749579858,29.955868,29.935575,0.0,1.1069983,1.1149347,29.837095,1,0,1,0
16716000,16716000,29.6603247975576,-82.31664749991667,29.95794,29.937647,0.0,1.1217088,1.1196691,29.837095,1,0,1,0
16896000,16896000,29.660324798488592,-82.31664750186373,29.955856,29.93398,0.0,1.1079835,1.1152592,29.837095,1,0,1,0
17056000,17056000,29.660324802116403,-82.31664750271324,29.953867,29.931992,0.0,1.117475,1.1160935,29.837095,1,0,1,0
17248000,17248000,29.6603248034094,-82.31664750410235,29.951815,29.928822,0.0,1.1053294,1.1145871,29.837095,1,0,1,0
17496000,17496000,29.660324795824756,-82.31664750686431,29.949913,29.92692,0.0,1.120003,1.1173563,29.837095,1,0,1,0
17688000,17688000,29.66032478200397,-82.31664752022704,29.951593,29.927568,0.0,1.1073675,1.1137338,29.837095,1,0,1,0
17876000,17876000,29.660324767733112,-82.31664753677151,29.953861,29.929836,0.0,1.1185378,1.1158667,29.837095,1,0,1,0
18088000,18088000,29.660324766775897,-82.31664755330956,29.95304,29.92774,0.0,1.1073431,1.1132725,29.837095,1,0,1,0
18308000,18308000,29.660324773987487,-82.31664757338035,29.94912,29.92382,0.0,1.120344,1.1166145,29.837095,1,0,1,0
18428000,18428000,29.660324779695813,-82.31664757984237,29.947037,29.920588,0.0,1.1042606,1.1122199,29.837095,1,0,1,0
18676000,18676000,29.660324792400203,-82.31664758748644,29.946096,29.919647,0.0,1.1182549,1.1167171,29.837095,1,0,1,0
18908000,18908000,29.66032480950464,-82.31664759301329,29.95361,29.926157,0.0,1.1083463,1.1149505,29.837095,1,0,1,0
19108000,19108000,29.66032483536479,-82.31664748140486,29.9819,29.954447,0.0,1.1199952,1.1172093,29.837095,1,0,1,0
19316000,19316000,29.660324858727783,-82.31664743262154,30.037287,30.008167,0.0,1.1088276,1.1125335,nan,1,0,0,0
